"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2020","100,14","99,55","100,87","99,04","11,60M","-0,05%"
"31.08.2020","100,19","102,12","102,18","100,02","14,22M","-2,51%"
"28.08.2020","102,77","103,14","103,25","101,81","13,76M","0,41%"
"27.08.2020","102,35","99,00","102,65","99,00","22,16M","3,29%"
"26.08.2020","99,09","99,94","100,27","99,05","12,05M","-1,40%"
"25.08.2020","100,50","101,27","101,98","99,80","13,65M","0,44%"
"24.08.2020","100,06","98,45","100,21","97,42","17,90M","2,82%"
"21.08.2020","97,32","97,27","98,57","96,94","12,23M","-0,05%"
"20.08.2020","97,37","97,26","98,03","96,80","13,67M","-1,20%"
"19.08.2020","98,55","98,92","100,59","98,34","13,53M","0,23%"
"18.08.2020","98,32","99,91","99,91","98,12","13,25M","-1,39%"
"17.08.2020","99,71","101,50","102,00","99,53","14,99M","-2,64%"
"14.08.2020","102,41","101,50","103,31","101,42","12,13M","0,04%"
"13.08.2020","102,37","102,00","103,36","101,64","13,60M","-0,55%"
"12.08.2020","102,94","106,16","106,43","101,71","19,25M","-0,85%"
"11.08.2020","103,82","103,86","106,16","103,51","31,52M","3,16%"
"10.08.2020","100,64","100,11","102,04","100,03","14,99M","1,27%"
"07.08.2020","99,38","96,93","99,49","96,56","14,74M","2,20%"
"06.08.2020","97,24","97,58","98,10","96,54","10,48M","0,03%"
"05.08.2020","97,21","95,87","98,47","95,72","15,35M","1,74%"
"04.08.2020","95,55","95,91","95,95","95,03","13,37M","-0,57%"
"03.08.2020","96,10","97,02","97,57","95,85","12,97M","-0,56%"
"31.07.2020","96,64","96,48","96,93","95,25","14,54M","-0,39%"
"30.07.2020","97,02","97,54","97,74","96,05","14,83M","-2,67%"
"29.07.2020","99,68","97,07","99,71","97,00","12,74M","2,42%"
"28.07.2020","97,32","96,50","97,89","96,50","11,75M","0,43%"
"27.07.2020","96,90","97,51","97,63","96,17","11,96M","-1,40%"
"24.07.2020","98,28","99,60","99,80","97,94","12,74M","-0,71%"
"23.07.2020","98,98","98,50","99,35","97,97","12,87M","0,29%"
"22.07.2020","98,69","99,65","100,13","97,53","14,27M","-0,72%"
"21.07.2020","99,41","97,71","100,05","97,64","17,81M","2,17%"
"20.07.2020","97,30","97,43","98,39","97,26","14,46M","-0,88%"
"17.07.2020","98,16","100,00","100,08","98,14","16,16M","-1,85%"
"16.07.2020","100,01","98,78","101,22","98,55","16,89M","0,28%"
"15.07.2020","99,73","100,89","101,29","98,65","22,51M","1,55%"
"14.07.2020","98,21","98,37","99,95","96,64","42,73M","0,57%"
"13.07.2020","97,65","98,73","99,27","96,22","32,08M","1,43%"
"10.07.2020","96,27","92,00","96,84","91,87","28,95M","5,47%"
"09.07.2020","91,28","93,52","94,12","90,78","25,60M","-2,17%"
"08.07.2020","93,30","92,29","93,34","91,80","18,76M","1,06%"
"07.07.2020","92,32","93,82","94,10","92,00","25,76M","-2,82%"
"06.07.2020","95,00","94,43","95,20","93,48","18,63M","2,53%"
"02.07.2020","92,66","94,74","94,96","91,93","27,85M","-0,64%"
"01.07.2020","93,26","94,89","95,71","93,03","18,76M","-0,85%"
"30.06.2020","94,06","92,83","94,66","92,57","19,14M","1,14%"
"29.06.2020","93,00","93,40","94,49","92,18","18,50M","0,44%"
"26.06.2020","92,59","95,11","95,37","92,00","41,90M","-5,48%"
"25.06.2020","97,96","94,35","98,21","94,26","25,74M","3,49%"
"24.06.2020","94,66","96,75","96,84","94,31","22,92M","-3,34%"
"23.06.2020","97,93","98,97","99,97","97,85","15,38M","1,22%"
"22.06.2020","96,75","97,25","97,95","96,54","16,22M","-1,08%"
"19.06.2020","97,81","100,53","100,60","96,73","40,37M","-1,14%"
"18.06.2020","98,94","98,67","100,52","98,13","16,59M","-0,54%"
"17.06.2020","99,48","102,53","102,54","99,21","15,64M","-2,53%"
"16.06.2020","102,06","105,37","105,68","99,31","22,19M","0,80%"
"15.06.2020","101,25","96,42","101,43","95,87","22,15M","1,38%"
"12.06.2020","99,87","100,71","101,13","97,33","24,86M","2,74%"
"11.06.2020","97,21","100,03","101,58","96,54","36,26M","-8,34%"
"10.06.2020","106,06","110,46","110,50","105,85","24,91M","-4,05%"
"09.06.2020","110,54","110,65","111,63","109,01","17,03M","-2,57%"
"08.06.2020","113,45","113,41","114,19","111,94","24,88M","2,00%"
"05.06.2020","111,23","114,93","115,77","109,53","42,23M","4,50%"
"04.06.2020","106,44","103,82","106,61","102,79","26,78M","2,08%"
"03.06.2020","104,27","101,58","104,92","101,06","25,94M","5,40%"
"02.06.2020","98,93","100,28","100,42","97,93","21,19M","0,33%"
"01.06.2020","98,60","97,75","99,51","97,38","15,21M","1,33%"
"29.05.2020","97,31","98,66","99,18","96,78","26,54M","-2,55%"
"28.05.2020","99,86","102,94","102,95","99,40","24,74M","-1,49%"
"27.05.2020","101,37","102,07","102,58","98,80","39,40M","5,79%"
"26.05.2020","95,82","92,89","97,50","92,61","41,23M","7,10%"
"22.05.2020","89,47","90,01","90,36","88,72","13,56M","-0,78%"
"21.05.2020","90,17","90,27","91,76","89,67","14,62M","-1,27%"
"20.05.2020","91,33","90,71","92,39","90,37","20,55M","3,00%"
"19.05.2020","88,67","90,05","91,20","88,59","19,60M","-1,97%"
"18.05.2020","90,45","88,69","91,15","87,88","30,53M","5,30%"
"15.05.2020","85,90","86,85","87,28","85,30","26,10M","-1,85%"
"14.05.2020","87,52","82,72","88,11","82,40","35,15M","4,15%"
"13.05.2020","84,03","86,38","86,86","83,40","35,45M","-3,45%"
"12.05.2020","87,03","90,15","90,79","86,90","27,96M","-3,27%"
"11.05.2020","89,97","91,11","91,11","89,33","31,91M","-2,94%"
"08.05.2020","92,70","92,80","94,08","92,11","20,49M","1,63%"
"07.05.2020","91,21","91,34","92,91","90,58","16,77M","1,04%"
"06.05.2020","90,27","92,16","92,76","89,93","20,98M","-1,88%"
"05.05.2020","92,00","93,65","94,21","91,90","18,06M","-0,15%"
"04.05.2020","92,14","92,02","92,67","90,80","15,73M","-1,19%"
"01.05.2020","93,25","93,50","93,74","91,83","18,55M","-2,62%"
"30.04.2020","95,76","95,60","96,84","94,55","19,13M","-2,15%"
