"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2022","4.485,70","4.531,00","4.542,10","4.444,75","419,85K","-0,87%"
"04.11.2022","4.525,10","4.590,05","4.600,00","4.512,45","492,68K","-1,41%"
"03.11.2022","4.589,90","4.555,65","4.600,00","4.527,35","353,22K","0,75%"
"02.11.2022","4.555,65","4.545,05","4.645,00","4.545,05","741,76K","0,45%"
"01.11.2022","4.535,30","4.435,25","4.580,00","4.435,25","1,07M","2,29%"
"31.10.2022","4.433,70","4.531,00","4.625,00","4.344,65","1,83M","-0,59%"
"28.10.2022","4.459,95","4.485,00","4.502,75","4.430,00","353,59K","-0,70%"
"27.10.2022","4.491,20","4.460,00","4.519,00","4.450,35","441,47K","1,10%"
"25.10.2022","4.442,35","4.389,95","4.477,50","4.371,00","623,66K","1,48%"
"24.10.2022","4.377,50","4.364,80","4.384,00","4.355,00","31,77K","1,08%"
"21.10.2022","4.330,80","4.355,00","4.388,95","4.308,60","200,60K","-0,42%"
"20.10.2022","4.349,05","4.305,00","4.355,00","4.280,00","257,52K","0,74%"
"19.10.2022","4.316,90","4.360,05","4.394,05","4.305,05","172,17K","-0,91%"
"18.10.2022","4.356,55","4.356,90","4.373,65","4.335,20","144,24K","0,49%"
"17.10.2022","4.335,20","4.305,00","4.374,00","4.282,50","210,14K","0,57%"
"14.10.2022","4.310,80","4.305,00","4.340,00","4.263,05","248,80K","1,32%"
"13.10.2022","4.254,65","4.249,95","4.309,00","4.241,30","302,78K","0,32%"
"12.10.2022","4.241,15","4.300,00","4.310,00","4.215,05","294,02K","-0,97%"
"11.10.2022","4.282,75","4.387,00","4.388,00","4.252,00","297,38K","-2,22%"
"10.10.2022","4.380,00","4.350,00","4.388,00","4.320,00","243,75K","0,08%"
"07.10.2022","4.376,65","4.390,00","4.408,55","4.372,00","267,77K","-0,48%"
"06.10.2022","4.397,55","4.436,05","4.447,95","4.369,90","246,24K","-0,37%"
"04.10.2022","4.413,95","4.446,00","4.449,90","4.376,05","308,65K","-0,13%"
"03.10.2022","4.419,65","4.315,00","4.439,00","4.312,40","695,26K","1,94%"
"30.09.2022","4.335,70","4.382,55","4.405,00","4.272,05","632,91K","-0,57%"
"29.09.2022","4.360,70","4.291,25","4.407,00","4.286,00","1,09M","2,13%"
"28.09.2022","4.269,70","4.178,15","4.297,00","4.178,15","626,65K","2,11%"
"27.09.2022","4.181,60","4.148,50","4.200,00","4.125,30","297,09K","1,30%"
"26.09.2022","4.127,85","4.119,20","4.158,80","4.089,30","411,06K","-0,27%"
"23.09.2022","4.139,20","4.163,00","4.214,75","4.129,50","331,99K","-1,03%"
"22.09.2022","4.182,40","4.110,10","4.222,10","4.108,40","478,38K","0,71%"
"21.09.2022","4.152,75","4.219,95","4.269,10","4.132,85","378,95K","-1,50%"
"20.09.2022","4.216,00","4.112,00","4.238,00","4.106,10","591,57K","2,85%"
"19.09.2022","4.099,15","4.070,00","4.111,05","3.997,00","301,29K","0,53%"
"16.09.2022","4.077,35","4.185,00","4.185,00","4.060,80","378,70K","-2,20%"
"15.09.2022","4.169,00","4.235,25","4.235,25","4.141,35","376,27K","-1,07%"
"14.09.2022","4.214,15","4.165,35","4.262,45","4.165,35","344,71K","-0,91%"
"13.09.2022","4.252,90","4.264,05","4.306,95","4.237,00","441,87K","-0,19%"
"12.09.2022","4.261,15","4.260,00","4.300,00","4.244,70","252,55K","0,14%"
"09.09.2022","4.255,10","4.272,50","4.319,50","4.246,05","314,13K","-0,39%"
"08.09.2022","4.271,65","4.296,95","4.296,95","4.252,70","315,51K","0,53%"
"07.09.2022","4.249,30","4.215,00","4.266,00","4.212,30","214,80K","0,24%"
"06.09.2022","4.239,20","4.230,00","4.252,00","4.185,00","225,88K","0,59%"
"05.09.2022","4.214,25","4.195,00","4.219,55","4.155,00","316,34K","0,58%"
