"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2020","174,50","173,00","175,00","170,00","1,65K","1,16%"
"31.08.2020","172,50","176,50","177,50","171,50","2,18K","-1,71%"
"28.08.2020","175,50","172,00","175,50","170,50","2,01K","1,15%"
"27.08.2020","173,50","178,00","180,00","173,00","3,81K","-2,53%"
"26.08.2020","178,00","178,00","182,00","177,50","7,17K","1,42%"
"25.08.2020","175,50","172,00","175,50","170,50","4,04K","2,63%"
"24.08.2020","171,00","172,50","174,00","168,50","3,54K","0,29%"
"21.08.2020","170,50","168,50","171,50","166,50","4,73K","3,65%"
"20.08.2020","164,50","177,00","177,00","160,00","9,49K","-7,32%"
"19.08.2020","177,50","183,00","185,00","177,00","4,59K","-2,47%"
"18.08.2020","182,00","187,50","189,50","181,50","4,18K","-2,93%"
"17.08.2020","187,50","192,50","193,00","187,00","4,47K","-1,32%"
"14.08.2020","190,00","184,50","190,50","181,00","5,66K","2,70%"
"13.08.2020","185,00","192,00","193,50","185,00","4,73K","-3,14%"
"12.08.2020","191,00","189,00","191,00","185,00","4,21K","1,06%"
"11.08.2020","189,00","193,00","194,50","186,00","7,79K","-2,83%"
"10.08.2020","194,50","202,50","205,50","193,50","7,90K","-4,89%"
"07.08.2020","204,50","210,00","212,00","203,50","4,96K","-2,15%"
"06.08.2020","209,00","208,00","213,50","208,00","7,02K","0,72%"
"05.08.2020","207,50","209,50","210,50","205,00","7,81K","0,00%"
"04.08.2020","207,50","198,00","208,00","196,00","6,49K","5,87%"
"03.08.2020","196,00","201,00","201,50","196,00","4,44K","-2,00%"
"31.07.2020","200,00","192,50","200,00","190,00","5,37K","3,36%"
"30.07.2020","193,50","195,00","198,00","190,50","6,43K","1,31%"
"29.07.2020","191,00","197,00","200,50","188,00","10,20K","-3,54%"
"28.07.2020","198,00","211,00","214,00","197,50","9,80K","-4,81%"
"27.07.2020","208,00","202,00","209,50","199,00","7,69K","3,48%"
"24.07.2020","201,00","205,00","211,50","199,00","9,58K","-3,13%"
"23.07.2020","207,50","211,50","213,00","205,00","6,26K","-3,04%"
"22.07.2020","214,00","211,00","214,50","208,00","6,57K","0,94%"
"21.07.2020","212,00","206,00","216,00","205,00","10,53K","4,95%"
"20.07.2020","202,00","206,00","209,50","197,50","6,83K","-2,65%"
"17.07.2020","207,50","211,00","214,00","203,00","7,01K","-1,43%"
