"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2022","131,30","131,40","132,28","131,26","1,43M","0,47%"
"04.11.2022","130,68","129,49","130,83","128,46","14,35M","2,74%"
"03.11.2022","127,20","126,31","128,18","125,91","12,47M","0,18%"
"02.11.2022","126,97","127,65","130,36","126,64","16,31M","-0,92%"
"01.11.2022","128,15","126,87","128,28","126,33","13,39M","1,80%"
"31.10.2022","125,88","125,70","127,43","125,59","13,30M","-0,16%"
"28.10.2022","126,08","125,29","126,28","124,05","11,73M","1,19%"
"27.10.2022","124,60","125,20","126,20","124,21","10,69M","0,39%"
"26.10.2022","124,11","123,00","125,20","122,88","10,75M","1,15%"
"25.10.2022","122,70","121,85","123,27","120,89","11,29M","0,26%"
"24.10.2022","122,38","122,07","123,10","121,33","12,52M","0,12%"
"21.10.2022","122,23","116,46","122,39","116,33","20,37M","5,25%"
"20.10.2022","116,13","117,16","118,71","115,65","12,19M","-0,33%"
"19.10.2022","116,51","117,99","118,83","115,67","17,01M","-1,96%"
"18.10.2022","118,84","119,66","120,14","116,96","21,28M","2,57%"
"17.10.2022","115,86","115,41","117,01","114,32","21,90M","4,20%"
"14.10.2022","111,19","111,96","115,24","110,72","33,22M","1,66%"
"13.10.2022","109,37","101,98","109,90","101,76","22,15M","5,56%"
"12.10.2022","103,61","101,80","104,73","101,28","13,06M","1,62%"
"11.10.2022","101,96","104,37","104,54","101,85","12,74M","-2,89%"
"10.10.2022","104,99","106,73","107,31","104,52","8,88M","-0,93%"
"07.10.2022","105,98","107,52","107,71","105,26","11,68M","-2,00%"
"06.10.2022","108,14","109,46","110,19","107,94","11,52M","-2,04%"
"05.10.2022","110,39","109,75","110,95","108,83","10,67M","-2,11%"
"04.10.2022","112,77","110,61","112,99","109,86","15,81M","4,68%"
"03.10.2022","107,73","105,62","108,36","104,46","12,25M","3,09%"
"30.09.2022","104,50","106,06","107,62","104,40","15,87M","-1,56%"
"29.09.2022","106,16","106,95","107,28","104,40","12,71M","-1,69%"
"28.09.2022","107,99","105,95","108,73","105,64","12,68M","2,02%"
"27.09.2022","105,85","107,75","108,17","104,65","12,79M","-0,88%"
"26.09.2022","106,79","108,00","109,61","106,06","15,75M","-2,15%"
"23.09.2022","109,14","110,05","110,34","107,16","17,97M","-1,86%"
"22.09.2022","111,21","113,38","113,60","111,07","11,68M","-1,14%"
"21.09.2022","112,49","116,54","116,60","112,42","12,61M","-2,88%"
"20.09.2022","115,83","117,41","117,69","114,64","9,62M","-1,97%"
"19.09.2022","118,16","116,00","118,73","115,51","8,20M","0,92%"
"16.09.2022","117,08","117,39","117,40","115,37","14,84M","-0,67%"
"15.09.2022","117,87","116,12","119,38","115,75","10,82M","1,51%"
"14.09.2022","116,12","116,70","117,84","114,88","9,35M","-0,23%"
"13.09.2022","116,39","118,07","118,92","115,78","12,90M","-3,47%"
"12.09.2022","120,58","120,62","121,55","119,79","8,61M","1,18%"
"09.09.2022","119,17","119,14","120,05","118,67","9,30M","0,48%"
"08.09.2022","118,60","115,28","118,79","114,63","11,43M","2,33%"
"07.09.2022","115,90","113,13","116,11","112,76","10,65M","1,90%"
"06.09.2022","113,74","114,33","114,75","112,07","9,75M","0,03%"
"02.09.2022","113,71","115,87","117,45","113,18","10,67M","-0,70%"
"01.09.2022","114,51","113,29","114,63","111,91","9,98M","0,69%"
"31.08.2022","113,73","114,48","115,03","113,34","10,74M","-0,59%"
"30.08.2022","114,41","115,00","115,58","113,36","10,75M","0,02%"
"29.08.2022","114,39","114,00","114,86","113,46","8,12M","-0,24%"
"26.08.2022","114,67","119,46","119,99","114,60","11,28M","-3,27%"
"25.08.2022","118,55","116,16","118,74","115,68","10,76M","2,37%"
"24.08.2022","115,80","115,29","116,41","114,45","9,77M","0,24%"
"23.08.2022","115,52","116,69","117,29","115,38","7,61M","-0,99%"
"22.08.2022","116,67","116,75","117,16","115,50","8,97M","-1,65%"
"19.08.2022","118,63","120,62","120,99","118,11","13,46M","-2,47%"
"18.08.2022","121,64","122,24","122,47","120,55","9,53M","-0,77%"
"17.08.2022","122,59","122,30","123,16","121,69","8,15M","-0,84%"
"16.08.2022","123,63","122,29","124,24","121,87","9,55M","0,96%"
"15.08.2022","122,46","121,14","122,72","120,60","8,46M","0,27%"
"12.08.2022","122,13","120,67","122,25","119,44","9,91M","1,66%"
"11.08.2022","120,14","119,90","121,20","119,31","11,68M","1,48%"
"10.08.2022","118,39","117,96","119,37","117,50","12,85M","2,61%"
"09.08.2022","115,38","114,75","115,99","114,37","10,23M","0,90%"
"08.08.2022","114,35","116,25","116,70","114,18","10,34M","-1,22%"
"05.08.2022","115,76","112,53","116,19","112,05","14,17M","3,03%"
"04.08.2022","112,36","112,85","113,32","111,02","18,03M","-1,10%"
"03.08.2022","113,61","113,45","114,10","111,71","14,39M","1,05%"
"02.08.2022","112,43","113,92","114,39","112,27","14,94M","-1,56%"
"01.08.2022","114,21","114,50","115,11","113,07","14,74M","-1,00%"
"29.07.2022","115,36","115,59","116,50","114,79","12,94M","0,48%"
"28.07.2022","114,81","115,25","115,98","113,53","10,38M","-0,37%"
"27.07.2022","115,24","114,01","115,74","113,30","9,27M","1,60%"
"26.07.2022","113,42","114,58","115,58","113,03","10,68M","-1,56%"
"25.07.2022","115,22","115,84","116,46","114,77","9,39M","0,40%"
"22.07.2022","114,76","115,24","116,25","113,67","7,65M","-0,49%"
"21.07.2022","115,32","114,44","115,53","113,37","11,60M","0,68%"
"20.07.2022","114,54","114,10","114,74","113,48","11,67M","-0,02%"
"19.07.2022","114,56","113,13","114,93","112,67","11,86M","2,48%"
"18.07.2022","111,79","114,77","115,84","111,29","13,98M","-1,03%"
"15.07.2022","112,95","109,16","113,88","107,67","18,86M","4,58%"
"14.07.2022","108,00","107,99","108,23","106,06","26,20M","-3,49%"
"13.07.2022","111,91","111,75","112,48","110,38","12,98M","-0,94%"
"12.07.2022","112,97","112,58","115,18","112,26","11,25M","0,10%"
"11.07.2022","112,86","113,55","114,23","112,21","7,94M","-1,31%"
"08.07.2022","114,36","115,16","115,65","113,61","8,81M","-0,31%"
"07.07.2022","114,72","113,50","114,90","113,40","10,35M","2,53%"
"06.07.2022","111,89","111,73","112,99","110,79","10,66M","-0,65%"
"05.07.2022","112,62","110,77","112,71","109,30","12,52M","-1,25%"
"01.07.2022","114,05","112,65","114,42","111,16","10,57M","1,28%"
"30.06.2022","112,61","113,17","114,07","110,93","15,17M","-2,33%"
"29.06.2022","115,30","116,00","116,82","114,73","9,34M","-0,45%"
"28.06.2022","115,82","117,67","119,29","115,60","11,62M","-0,48%"
"27.06.2022","116,38","118,06","118,50","115,64","11,28M","-0,80%"
"24.06.2022","117,32","113,23","117,82","112,83","14,84M","2,98%"
"23.06.2022","113,92","115,01","115,18","111,48","11,85M","-1,09%"
"22.06.2022","115,18","114,88","116,20","114,39","9,85M","-0,56%"
"21.06.2022","115,83","115,86","117,03","115,04","11,68M","2,48%"
"17.06.2022","113,03","113,54","114,63","112,16","30,92M","-0,35%"
"16.06.2022","113,43","113,86","114,26","111,87","16,72M","-1,72%"
"15.06.2022","115,41","115,62","116,95","113,17","14,08M","1,18%"
"14.06.2022","114,06","115,55","117,32","113,22","13,36M","-1,66%"
"13.06.2022","115,99","116,86","117,95","115,06","16,81M","-2,98%"
"10.06.2022","119,55","122,59","123,40","119,32","12,95M","-4,60%"
"09.06.2022","125,31","127,37","128,10","125,27","13,57M","-2,10%"
"08.06.2022","128,00","129,00","129,45","126,90","8,42M","-1,59%"
"07.06.2022","130,07","128,83","130,32","128,62","6,72M","0,26%"
"06.06.2022","129,73","131,09","132,39","129,46","11,32M","-0,33%"
"03.06.2022","130,16","131,21","131,77","129,99","8,60M","-1,39%"
"02.06.2022","132,00","129,90","132,01","128,67","8,37M","1,61%"
"01.06.2022","129,91","132,87","132,87","128,67","10,77M","-1,75%"
"31.05.2022","132,23","130,18","133,15","129,71","17,02M","0,73%"
"27.05.2022","131,27","130,16","131,27","129,14","11,18M","1,41%"
"26.05.2022","129,44","128,37","130,19","128,21","15,99M","1,73%"
"25.05.2022","127,24","126,28","127,86","125,17","12,78M","0,70%"
"24.05.2022","126,36","124,36","127,49","123,11","19,32M","1,41%"
