"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"04.11.2022","83,60","82,00","83,60","81,90","0,35K","1,09%"
"03.11.2022","82,70","81,20","82,90","81,20","0,19K","0,61%"
"02.11.2022","82,20","81,80","83,10","81,70","0,40K","-0,96%"
"01.11.2022","83,00","81,50","83,00","81,20","0,44K","2,85%"
"31.10.2022","80,70","80,00","81,70","79,80","0,36K","2,02%"
"28.10.2022","79,10","79,50","79,50","78,20","0,14K","-0,88%"
"27.10.2022","79,80","78,30","80,00","78,30","0,22K","2,05%"
"26.10.2022","78,20","79,10","79,40","78,00","0,19K","-0,13%"
"25.10.2022","78,30","79,60","79,60","78,30","0,24K","-1,63%"
"24.10.2022","79,60","80,00","80,30","79,40","0,24K","0,89%"
"21.10.2022","78,90","79,80","80,00","78,70","0,22K","-1,00%"
"20.10.2022","79,70","80,90","80,90","79,20","0,23K","-1,73%"
"19.10.2022","81,10","81,30","82,10","81,10","0,18K","-0,25%"
"18.10.2022","81,30","81,40","82,10","80,80","0,23K","0,37%"
"17.10.2022","81,00","81,00","81,10","78,50","0,31K","-0,86%"
"14.10.2022","81,70","81,00","82,40","81,00","0,24K","2,77%"
"13.10.2022","79,50","83,50","83,50","79,00","0,42K","-4,79%"
"12.10.2022","83,50","83,50","84,90","82,80","0,20K","-0,95%"
"11.10.2022","84,30","86,10","86,10","83,90","0,26K","-3,55%"
"07.10.2022","87,40","86,60","87,40","86,60","0,13K","0,00%"
"06.10.2022","87,40","87,90","88,20","87,00","0,22K","-0,11%"
"05.10.2022","87,50","88,40","89,50","87,50","0,55K","-0,57%"
"04.10.2022","88,00","86,70","88,20","86,70","0,20K","2,09%"
"03.10.2022","86,20","85,10","86,80","84,50","0,29K","0,82%"
"30.09.2022","85,50","84,50","85,50","83,50","0,37K","-0,70%"
"29.09.2022","86,10","82,80","86,60","82,30","0,60K","5,39%"
"28.09.2022","81,70","86,60","86,70","81,50","0,56K","-5,66%"
"27.09.2022","86,60","86,40","86,80","85,40","0,34K","0,23%"
"26.09.2022","86,40","89,40","89,40","86,20","0,60K","-4,00%"
"23.09.2022","90,00","90,90","91,50","89,60","0,30K","-0,99%"
"22.09.2022","90,90","90,00","91,10","89,30","0,31K","-0,11%"
"21.09.2022","91,00","92,20","92,20","90,80","0,19K","-1,30%"
"20.09.2022","92,20","91,70","92,40","91,60","0,19K","1,43%"
"19.09.2022","90,90","92,00","92,30","90,90","0,20K","-0,76%"
"16.09.2022","91,60","92,90","92,90","91,60","0,27K","-1,51%"
"15.09.2022","93,00","94,20","94,70","93,00","0,33K","-1,06%"
"14.09.2022","94,00","91,50","94,00","91,40","0,25K","0,53%"
"13.09.2022","93,50","94,10","95,20","93,10","0,41K","-0,32%"
"12.09.2022","93,80","93,40","94,40","93,40","0,32K","0,43%"
"08.09.2022","93,40","90,20","94,30","89,30","0,78K","3,89%"
"07.09.2022","89,90","90,20","90,20","88,50","0,37K","-0,33%"
"06.09.2022","90,20","92,30","92,80","89,90","0,42K","-1,96%"
"05.09.2022","92,00","95,20","95,20","92,00","0,51K","-2,65%"
"02.09.2022","94,50","94,00","95,50","94,00","0,56K","0,96%"
"01.09.2022","93,60","93,40","94,20","93,10","0,41K","-0,95%"
"31.08.2022","94,50","91,40","94,60","91,40","0,62K","2,94%"
"30.08.2022","91,80","91,00","92,00","90,70","0,16K","1,21%"
"29.08.2022","90,70","91,00","91,00","89,30","0,42K","-2,47%"
"26.08.2022","93,00","92,60","93,50","92,50","0,34K","0,98%"
"25.08.2022","92,10","92,70","93,30","92,00","0,40K","0,11%"
"24.08.2022","92,00","93,20","93,20","91,80","0,24K","-0,43%"
"23.08.2022","92,40","92,30","92,70","91,50","0,37K","-0,86%"
"22.08.2022","93,20","95,20","95,30","93,20","0,48K","-2,92%"
"19.08.2022","96,00","96,30","97,10","95,80","0,59K","-0,10%"
"18.08.2022","96,10","94,60","96,50","93,70","0,59K","1,59%"
"17.08.2022","94,60","93,40","94,80","93,40","0,48K","1,39%"
"16.08.2022","93,30","94,00","95,30","93,30","0,47K","-0,74%"
"15.08.2022","94,00","92,70","94,50","92,20","0,96K","2,40%"
"12.08.2022","91,80","89,90","92,20","89,50","0,76K","2,68%"
"11.08.2022","89,40","89,60","90,00","89,00","0,45K","0,68%"
"10.08.2022","88,80","89,50","90,00","88,80","0,76K","-2,20%"
"09.08.2022","90,80","91,20","91,60","90,20","0,27K","-0,33%"
"08.08.2022","91,10","90,50","91,90","90,50","0,27K","-1,41%"
"05.08.2022","92,40","91,20","93,00","91,20","0,53K","1,65%"
"04.08.2022","90,90","92,20","92,20","88,60","0,40K","-0,98%"
"03.08.2022","91,80","89,30","91,90","89,00","0,51K","2,00%"
"02.08.2022","90,00","92,50","92,50","89,40","0,58K","-2,91%"
"01.08.2022","92,70","90,10","93,20","90,10","0,84K","3,00%"
"29.07.2022","90,00","89,00","90,40","89,00","0,31K","1,58%"
"28.07.2022","88,60","90,40","90,80","88,50","0,33K","-1,34%"
"27.07.2022","89,80","89,40","90,90","88,90","0,31K","0,56%"
"26.07.2022","89,30","91,90","92,60","89,30","0,51K","-3,35%"
"25.07.2022","92,40","90,90","93,00","90,60","0,60K","1,09%"
"22.07.2022","91,40","92,80","93,20","91,00","0,51K","-1,30%"
"21.07.2022","92,60","90,40","92,80","90,40","0,50K","2,89%"
"20.07.2022","90,00","89,00","91,00","88,20","0,76K","3,33%"
"19.07.2022","87,10","87,00","87,50","86,40","0,48K","0,11%"
"18.07.2022","87,00","86,90","87,90","86,90","1,56K","-7,94%"
"15.07.2022","94,50","93,20","94,50","92,30","1,52K","1,39%"
"14.07.2022","93,20","91,00","93,20","90,50","0,75K","2,42%"
"13.07.2022","91,00","92,80","92,80","90,80","0,64K","0,78%"
"12.07.2022","90,30","93,60","93,60","89,80","0,60K","-3,53%"
"11.07.2022","93,60","94,80","94,80","93,20","0,30K","-0,11%"
"08.07.2022","93,70","93,00","94,20","91,40","0,68K","2,63%"
"07.07.2022","91,30","88,10","91,50","87,50","0,67K","2,58%"
"06.07.2022","89,00","92,70","93,30","89,00","0,59K","-3,26%"
"05.07.2022","92,00","93,70","94,50","90,20","0,49K","-0,11%"
"04.07.2022","92,10","90,60","94,00","90,60","0,55K","0,88%"
"01.07.2022","91,30","97,00","97,50","91,00","0,95K","-5,58%"
"30.06.2022","96,70","99,50","99,50","96,00","0,57K","-2,03%"
"29.06.2022","98,70","99,70","99,90","98,20","0,52K","-2,28%"
"28.06.2022","101,00","104,50","105,00","100,50","0,55K","-3,35%"
"27.06.2022","104,50","97,90","106,00","97,70","1,04K","8,07%"
"24.06.2022","96,70","96,80","98,60","96,70","0,48K","0,42%"
"23.06.2022","96,30","96,30","97,70","95,50","0,58K","0,00%"
